"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","1","11","0","0"
"","LIVE","방송 검색","0","0","1","0","0"
"","내 정보","2차 비밀번호 설정","0","0","1","0","0"
"","내 정보","내 애드벌룬","0","0","1","0","0"
"","회원 라이브 플레이어 기능","UP 버튼","0","1","0","0","0"
"","내 정보","진입","0","0","2","0","0"
"","내 정보","내 크레딧","0","0","1","0","0"
"","내 정보","내 포인트","0","0","1","0","0"
"","회원 라이브 플레이어 기능","지정된 비밀번호 방송 검색 후 진입","0","1","0","0","0"
"","LIVE","화질 변경","0","0","1","0","0"
"","회원 라이브 플레이어 기능","플레이어내 애드벌룬 버튼","0","1","0","0","0"
"","비회원 라이브 플레이어 기능","영상모드 변경","0","0","1","0","0"
"","MY","로그인","0","0","1","0","0"
"","내 정보","비밀번호 변경","0","0","1","0","0"
"","회원 라이브 플레이어 기능","채팅 및 이모티콘","0","1","0","0","0"
"","로그인 기능","지정된 계정정보로 로그인","0","0","1","0","0"
"","내 정보","내 방송국","0","0","1","0","0"
"","내 정보","내 글, 댓글","0","0","1","0","0"
"","내 정보","통계","0","0","1","0","0"
"","내 정보","이용제재 내역","0","0","1","0","0"
"","내 정보","쪽지함","0","0","1","0","0"
"","LIVE","채팅 및 이모티콘","0","0","1","0","0"
"","","설치 후 권한 허용","0","1","1","0","0"
"","","앱 설치 및 실행","0","1","1","0","0"
"","내 정보","개인정보","0","0","1","0","0"
"","회원 라이브 플레이어 기능","선물 버튼","0","1","0","0","0"
"","내 정보","인증번호","0","0","1","0","0"
"","내 정보","로그인 관리","0","0","1","0","0"
"","내 정보","닉네임 변경","0","0","1","0","0"
"","비회원 라이브 플레이어 기능","영상품질 변경","0","1","0","0","0"
"","내 정보","내 별풍선, 아이템","0","0","1","0","0"
"","LIVE","리스트 팝업","0","0","1","0","0"
"","회원 라이브 플레이어 기능","영상품질 변경","0","1","0","0","0"
"","내 정보","내 구독","0","0","1","0","0"
"","","썸네일을 통한 핫이슈 방송 진입","0","0","1","0","0"
"","내 정보","로그아웃","0","0","1","0","0"
"","회원 라이브 플레이어 기능","리스트팝업","0","1","0","0","0"
"","LIVE","UP","0","0","1","0","0"
"","내 정보","수익","0","0","1","0","0"
"","내 정보","계정 연결","0","0","1","0","0"
